,0
Annual return,0.15443898804447231
Cumulative returns,0.7701045496658361
Annual volatility,0.0988099316661532
Sharpe ratio,1.504843735060478
Calmar ratio,1.3457421957310758
Stability,0.9717964233828864
Max drawdown,-0.11476119908729857
Omega ratio,1.3989253243391302
Sortino ratio,2.1480985793651786
Skew,
Kurtosis,
Tail ratio,1.185236005698633
Daily value at risk,-0.011858827652355415
