,0
Annual return,0.4643595251153394
Cumulative returns,0.4621448007015314
Annual volatility,0.24259832671364043
Sharpe ratio,1.7001116052640688
Calmar ratio,2.7090776769629374
Stability,0.7956491033285624
Max drawdown,-0.17140871561716103
Omega ratio,1.318562006333698
Sortino ratio,2.674908881435674
Skew,
Kurtosis,
Tail ratio,1.0290848541613007
Daily value at risk,-0.028927832781399907
